Diameter_m,BladeLength_m,Volume_m3,CarbonFraction,MaterialCostPer_m3_£,MaterialStructuralCost_£,ToolingAmortPerBlade_£,TotalCost_£
96.0,48.0,10.88008292236211,0.2533333333333333,4160.0,53951.28478877544,4221.2,58172.48478877544
97.0,48.5,11.154071094231318,0.25666666666666665,4195.0,55868.84591891865,4240.675,60109.52091891865
98.0,49.0,11.432042431071507,0.26,4230.0,57835.61722218524,4260.3,62095.91722218524
99.0,49.5,11.714013307955042,0.2633333333333333,4265.0,59852.39957659705,4280.075,64132.474576597044
100.0,50.0,12.0,0.26666666666666666,4300.0,61920.0,4300.0,66220.0
101.0,50.5,12.290018683980847,0.27,4335.0,64039.23165605847,4320.075,68359.30665605847
102.0,51.0,12.584085439897336,0.2733333333333333,4370.0,66210.91386031103,4340.3,70551.21386031104
103.0,51.5,12.882216252503143,0.27666666666666667,4405.0,68435.87208628528,4360.675,72796.54708628528
104.0,52.0,13.184427012795654,0.28,4440.0,70714.93797166974,4381.2,75096.13797166974
105.0,52.5,13.49073351946824,0.2833333333333333,4475.0,73048.94932454065,4401.875,77450.82432454065
106.0,53.0,13.801151480326322,0.2866666666666666,4510.0,75438.75012964131,4422.7,79861.45012964131
107.0,53.5,14.115696513668501,0.29,4545.0,77885.19055471272,4443.675,82328.86555471273
108.0,54.0,14.434384149633857,0.29333333333333333,4580.0,80389.12695687283,4464.8,84853.92695687283
109.0,54.5,14.757229831516621,0.29666666666666663,4615.0,82951.42188904312,4486.075,87437.49688904312
110.0,55.0,15.084248917049312,0.3,4650.0,85572.94410642075,4507.5,90080.44410642075
111.0,55.5,15.415456679655277,0.30333333333333334,4685.0,88254.56857299403,4529.075,92783.64357299403
112.0,56.0,15.750868309671777,0.30666666666666664,4720.0,90997.17646810057,4550.8,95547.97646810058
113.0,56.5,16.09049891554445,0.31,4755.0,93801.65519302539,4572.675,98374.3301930254
114.0,57.0,16.43436352499416,0.31333333333333335,4790.0,96668.89837763864,4594.7,101263.59837763864
115.0,57.5,16.78247708615701,0.31666666666666665,4825.0,99599.80588707031,4616.875,104216.68088707031
116.0,58.0,17.134854468698457,0.31999999999999995,4860.0,102595.28382842138,4639.200000000001,107234.48382842138
117.0,58.5,17.491510464902326,0.32333333333333336,4895.0,105656.24455750996,4661.675,110317.91955750996
118.0,59.0,17.852459790735427,0.32666666666666666,4930.0,108783.60668565052,4684.3,113467.90668565052
119.0,59.5,18.217717086888584,0.32999999999999996,4965.0,111978.29508646544,4707.075,116685.37008646544
120.0,60.0,18.58729691979481,0.3333333333333333,5000.0,115241.24090272782,5760.0,121001.24090272782
121.0,60.5,18.975434692962242,0.33691666666666664,5037.625,118724.17625035632,5786.15,124510.32625035632
122.0,61.0,19.368491319408108,0.34049999999999997,5075.25,122285.11984761954,5812.6,128097.71984761955
123.0,61.5,19.76649097173311,0.3440833333333333,5112.875,125925.24251876649,5839.35,131764.5925187665
124.0,62.0,20.16945779497479,0.3476666666666667,5150.5,129645.72488152604,5866.4,135512.12488152605
125.0,62.5,20.577415907260598,0.35124999999999995,5188.124999999999,133447.75737982045,5893.75,139341.50737982045
126.0,63.0,20.990389400445782,0.3548333333333333,5225.749999999999,137332.54031654316,5921.4,143253.94031654316
127.0,63.5,21.40840234073672,0.35841666666666666,5263.375,141301.28388639961,5949.35,147250.63388639962
128.0,64.0,21.831478769299995,0.362,5301.0,145355.20820881045,5977.6,151332.80820881046
129.0,64.5,22.259642702857736,0.36558333333333326,5338.624999999999,149495.54336087618,6006.15,155501.69336087618
130.0,65.0,22.692918134269554,0.3691666666666667,5376.25,153723.52941040203,6035.0,159758.52941040203
131.0,65.5,23.131329033101498,0.37274999999999997,5413.875,158040.41644898197,6064.15,164104.56644898196
132.0,66.0,23.57489934618237,0.3763333333333333,5451.5,162447.46462514147,6093.6,168541.06462514147
133.0,66.5,24.02365299814787,0.3799166666666667,5489.125,166945.9441775384,6123.35,173069.2941775384
134.0,67.0,24.47761389197273,0.3835,5526.75,171537.13546821964,6153.4,177690.53546821963
135.0,67.5,24.936805909491326,0.3870833333333333,5564.374999999999,176222.32901593475,6183.75,182406.07901593475
